key,value
科號,10520 FL327200
課程名稱,"<a href=""http://lms.nthu.edu.tw/course/28999"" target=""_blank"">日語會話二<br class=""visible-xs""> Japanese Conversation II</a>"
課程時段,WnW5W6 (星期三 12:10-15:10)
學分,3
授課教師,楊淑萍 老師
