bs_class,日期,發表者與主題
active,02/15,(課程介紹)
,02/22,"#0,#1"
,03/01,"#2,#3"
,03/08,"#4,#5"
,03/15,"#6,#7,#8"
,03/22,"#9,#10,#11"
,03/29,"#12,#13,#14"
warning,04/05,(校際活動週放假)
,04/12,"#15,#16,#17"
,04/19,"#18,#19,#20"
,04/26,"#21,#22,#23"
,05/03,"#24,#25,#26"
,05/10,"#27,#28"
,05/17,
active,05/24,(期末配音發表)
active,05/31,(期末配音發表)
active,06/07,(期末個人發表)
active,06/14,(期末個人發表)
